2025-11-13 21:58:49,723 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.86) - Source: 192.168.10.3,timestamp,alert_type,source_ip,description,severity,ai_confidence,patterns
,,2025-11-13 21:58:49,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.86),MEDIUM,0.8593353428491978,
2025-11-13 21:58:50,663 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.85) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:58:50,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.85),MEDIUM,0.8525854744946549,
2025-11-13 21:58:59,628 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:58:59,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,1.0,
2025-11-13 21:58:59,893 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.83) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:58:59,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.83),MEDIUM,0.8298656786711675,
2025-11-13 21:59:01,295 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.69) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:01,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.69),MEDIUM,0.6930883673260353,
2025-11-13 21:59:01,331 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.67) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:01,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.67),MEDIUM,0.670620478914966,
2025-11-13 21:59:01,595 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 3.160.77.43 (confidence: 0.90) - Source: 3.160.77.43,,,,,,,
,,2025-11-13 21:59:01,AI Behavioral Anomaly,3.160.77.43,Unusual traffic pattern from 3.160.77.43 (confidence: 0.90),MEDIUM,0.8965818050523904,
2025-11-13 21:59:01,627 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 3.160.77.43 (confidence: 0.76) - Source: 3.160.77.43,,,,,,,
,,2025-11-13 21:59:01,AI Behavioral Anomaly,3.160.77.43,Unusual traffic pattern from 3.160.77.43 (confidence: 0.76),MEDIUM,0.7592252689021343,
2025-11-13 21:59:02,218 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.74) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:02,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.74),MEDIUM,0.7431799834441138,
2025-11-13 21:59:02,764 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 0.76) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:02,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 0.76),MEDIUM,0.7585225972533202,
2025-11-13 21:59:04,487 - WARNING - AI Behavioral Anomaly - Unusual traffic pattern from 192.168.10.3 (confidence: 1.00) - Source: 192.168.10.3,,,,,,,
,,2025-11-13 21:59:04,AI Behavioral Anomaly,192.168.10.3,Unusual traffic pattern from 192.168.10.3 (confidence: 1.00),MEDIUM,1.0,
